Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Year_as_date
The Lord Of The Rings: The Return Of The King,PS2,Electronic Arts,"Hypnos Entertainment, Inc.",8.4,,3.28,2003,Action,1.5,1.28,0.05,0.46,3.28,2003-01-01
True Crime: Streets Of La,PS2,Activision,Luxoflux,8.5,,3.27,2003,Action,1.89,1.05,0.02,0.31,3.27,2003-01-01
Gran Turismo (Psp),PSP,Sony Computer Entertainment,Polyphony Digital,8.059999999999999,,3.27,2009,Racing,0.5,1.59,0.31,0.87,3.27,2009-01-01
Far Cry 3,PS3,Ubisoft,Ubisoft Montreal,8.86,,3.27,2012,Shooter,0.88,1.75,0.1,0.72,3.45,2012-01-01
God Of War: Chains Of Olympus,PSP,Sony Computer Entertainment,Ready at Dawn,8.9,9.5,3.26,2008,Action,1.48,1.01,0.04,0.66,3.19,2008-01-01
Flash Focus: Vision Training In Minutes A Day,DS,Nintendo,Bandai Namco Games,6.1000000000000005,,3.23,2007,Misc,0.87,1.57,1.05,0.35,3.84,2007-01-01
007: Tomorrow Never Dies,PS,Electronic Arts,Black Ops Entertainment,6.2,,3.21,1999,Shooter,1.72,1.33,0.0,0.16,3.21,1999-01-01
Killer Instinct,SNES,Nintendo,Rare Ltd.,7.68,,3.2,1995,Fighting,2.26,0.72,0.12,0.1,3.2,1995-01-01
Wwf Smackdown! 2: Know Your Role,PS,Thq,Yuke's,8.7,,3.2,2000,Fighting,1.76,1.21,0.07,0.16,3.2,2000-01-01
Middle-Earth: Shadow Of Mordor,PS4,Warner Bros. Interactive Entertainment,Monolith Productions,8.360000000000001,,3.19,2014,Action,1.01,1.41,0.05,0.53,2.99,2014-01-01
Assassin'S Creed Iv: Black Flag,PS4,Ubisoft,Ubisoft Montreal,8.3,7.9,3.19,2013,Action,1.07,1.31,0.06,0.31,2.74,2013-01-01
Enter The Matrix,PS2,Atari,Shiny Entertainment,7.200000000000001,,3.18,2003,Action,1.78,1.12,0.09,0.19,3.18,2003-01-01
Fallout: New Vegas,PS3,Bethesda Softworks,Obsidian Entertainment,8.2,,3.17,2010,Role-Playing,1.52,1.08,0.1,0.47,3.17,2010-01-01
Club Penguin: Elite Penguin Force,DS,Disney Interactive Studios,1st Playable Productions,6.999999999999999,,3.14,2008,Adventure,1.88,0.98,0.0,0.3,3.16,2008-01-01
Spider-Man,PS,Activision,Neversoft Entertainment,7.899999999999999,,3.13,2000,Action,1.7,1.25,0.02,0.16,3.13,2000-01-01
Need For Speed Iii: Hot Pursuit,PS,Electronic Arts,EA Canada,8.0,,3.12,1998,Racing,2.14,0.86,0.0,0.13,3.12,1998-01-01
Resident Evil 6,PS3,Capcom,Capcom,7.9,,3.12,2012,Shooter,0.88,0.97,0.88,0.42,3.15,2012-01-01
Titanfall,XONE,Electronic Arts,Respawn Entertainment,8.9,6.7,3.11,2014,Shooter,1.84,0.8,0.04,0.22,2.9,2014-01-01
Mario Party 9,WII,Nintendo,"Nd Cube Co., Ltd.",6.500000000000001,,3.11,2012,Misc,1.15,1.17,0.76,0.24,3.32,2012-01-01
Mass Effect 2,X360,Electronic Arts,BioWare Edmonton,9.5,8.9,3.1,2010,Role-Playing,1.99,0.82,0.03,0.27,3.11,2010-01-01
The Legend Of Zelda: Majora'S Mask 3D,3DS,Nintendo,GREZZO,9.0,8.9,3.09,2015,Action,1.14,0.54,0.47,0.17,2.32,2015-01-01
Saints Row 2,X360,Thq,Volition Inc.,7.9,,3.07,2008,Action,1.94,0.8,0.02,0.27,3.03,2008-01-01
Donkey Kong,GB,Nintendo,Nintendo EAD,8.28,,3.07,1994,Platform,1.57,0.62,0.55,0.34,3.07,1994-01-01
The Sims: Vacation,PC,Electronic Arts,Maxis,8.0,,3.07,2002,Simulation,1.72,1.21,0.0,0.14,3.07,2002-01-01
Call Of Duty: Ghosts,XONE,Activision,Infinity Ward,7.5,4.3,3.07,2013,Shooter,1.87,0.77,0.0,0.22,2.86,2013-01-01
New Super Luigi U,WIIU,Nintendo,Nintendo,7.800000000000001,8.0,3.05,2013,Platform,1.27,0.62,0.18,0.16,2.22,2013-01-01
Kung Fu Panda,X360,Activision,Luxoflux,7.5,,3.05,2008,Action,1.91,0.84,0.0,0.29,3.05,2008-01-01
Mass Effect 3,X360,Electronic Arts,BioWare,9.5,,3.04,2012,Role-Playing,1.94,0.86,0.03,0.24,3.07,2012-01-01
Metal Gear Solid V: The Phantom Pain,PS4,Konami Digital Entertainment,Kojima Productions,9.3,8.2,3.04,2015,Action,1.08,1.35,0.48,0.47,3.38,2015-01-01
Rayman,PS,Ubisoft,Ubisoft Montpellier,6.999999999999999,,3.03,1995,Platform,1.54,1.33,0.0,0.16,3.03,1995-01-01
Tom Clancy'S Splinter Cell,XB,Ubisoft,Ubisoft,9.3,9.1,3.02,2002,Action,1.85,1.04,0.0,0.13,3.02,2002-01-01
Mike Tyson'S Punch-Out!!,NES,Nintendo,Nintendo IRD,7.799999999999999,,3.02,1987,Fighting,2.03,0.47,0.45,0.07,3.02,1987-01-01
Wwe Smackdown! Shut Your Mouth,PS2,Thq,Yuke's Future Media Creators,8.2,,3.02,2002,Sports,1.45,1.13,0.07,0.38,3.02,2002-01-01
Wwe Smackdown! Shut Your Mouth,PS2,Thq,Yuke's,8.2,,2.66,2002,Sports,1.45,1.13,0.07,0.38,3.02,2002-01-01
